,county,emm
0,"AL, Autauga County",SRSE
1,"AL, Baldwin County",SRSE
2,"AL, Barbour County",SRSE
3,"AL, Bibb County",SRSE
4,"AL, Blount County",SRSE
5,"AL, Bullock County",SRSE
6,"AL, Butler County",SRSE
7,"AL, Calhoun County",SRSE
8,"AL, Chambers County",SRSE
9,"AL, Cherokee County",SRSE
10,"AL, Chilton County",SRSE
11,"AL, Choctaw County",SRSE
12,"AL, Clarke County",SRSE
13,"AL, Clay County",SRSE
14,"AL, Cleburne County",SRSE
15,"AL, Coffee County",SRSE
16,"AL, Colbert County",SRSE
17,"AL, Conecuh County",SRSE
18,"AL, Coosa County",SRSE
19,"AL, Covington County",SRSE
20,"AL, Crenshaw County",SRSE
21,"AL, Cullman County",SRSE
22,"AL, Dale County",SRSE
23,"AL, Dallas County",SRSE
24,"AL, DeKalb County",SRCE
25,"AL, Elmore County",SRSE
26,"AL, Escambia County",SRSE
27,"AL, Etowah County",SRSE
28,"AL, Fayette County",SRSE
29,"AL, Franklin County",SRSE
30,"AL, Geneva County",SRSE
31,"AL, Greene County",SRSE
32,"AL, Hale County",SRSE
33,"AL, Henry County",SRSE
34,"AL, Houston County",SRSE
35,"AL, Jackson County",SRCE
36,"AL, Jefferson County",SRSE
37,"AL, Lamar County",SRSE
38,"AL, Lauderdale County",SRCE
39,"AL, Lawrence County",SRSE
40,"AL, Lee County",SRSE
41,"AL, Limestone County",SRCE
42,"AL, Lowndes County",SRSE
43,"AL, Macon County",SRSE
44,"AL, Madison County",SRCE
45,"AL, Marengo County",SRSE
46,"AL, Marion County",SRSE
47,"AL, Marshall County",SRSE
48,"AL, Mobile County",SRSE
49,"AL, Monroe County",SRSE
50,"AL, Montgomery County",SRSE
51,"AL, Morgan County",SRCE
52,"AL, Perry County",SRSE
53,"AL, Pickens County",SRSE
54,"AL, Pike County",SRSE
55,"AL, Randolph County",SRSE
56,"AL, Russell County",SRSE
57,"AL, St. Clair County",SRSE
58,"AL, Shelby County",SRSE
59,"AL, Sumter County",SRSE
60,"AL, Talladega County",SRSE
61,"AL, Tallapoosa County",SRSE
62,"AL, Tuscaloosa County",SRSE
63,"AL, Walker County",SRSE
64,"AL, Washington County",SRSE
65,"AL, Wilcox County",SRSE
66,"AL, Winston County",SRSE
67,"AZ, Apache County",SRSG
68,"AZ, Cochise County",SRSG
69,"AZ, Coconino County",SRSG
70,"AZ, Gila County",SRSG
71,"AZ, Graham County",SRSG
72,"AZ, Greenlee County",SRSG
73,"AZ, La Paz County",SRSG
74,"AZ, Maricopa County",SRSG
75,"AZ, Mohave County",SRSG
76,"AZ, Navajo County",SRSG
77,"AZ, Pima County",SRSG
78,"AZ, Pinal County",SRSG
79,"AZ, Santa Cruz County",SRSG
80,"AZ, Yavapai County",SRSG
81,"AZ, Yuma County",SRSG
82,"AR, Arkansas County",MISS
83,"AR, Ashley County",MISS
84,"AR, Baxter County",MISS
85,"AR, Benton County",SPPS
86,"AR, Boone County",MISS
87,"AR, Bradley County",MISS
88,"AR, Calhoun County",MISS
89,"AR, Carroll County",SPPS
90,"AR, Chicot County",MISS
91,"AR, Clark County",MISS
92,"AR, Clay County",MISS
93,"AR, Cleburne County",MISS
94,"AR, Cleveland County",MISS
95,"AR, Columbia County",MISS
96,"AR, Conway County",MISS
97,"AR, Craighead County",MISS
98,"AR, Crawford County",SPPS
99,"AR, Crittenden County",MISS
100,"AR, Cross County",MISS
101,"AR, Dallas County",MISS
102,"AR, Desha County",MISS
103,"AR, Drew County",MISS
104,"AR, Faulkner County",MISS
105,"AR, Franklin County",SPPS
106,"AR, Fulton County",MISS
107,"AR, Garland County",MISS
108,"AR, Grant County",MISS
109,"AR, Greene County",MISS
110,"AR, Hempstead County",SPPS
111,"AR, Hot Spring County",MISS
112,"AR, Howard County",SPPS
113,"AR, Independence County",MISS
114,"AR, Izard County",MISS
115,"AR, Jackson County",MISS
116,"AR, Jefferson County",MISS
117,"AR, Johnson County",SPPS
118,"AR, Lafayette County",SPPS
119,"AR, Lawrence County",MISS
120,"AR, Lee County",MISS
121,"AR, Lincoln County",MISS
122,"AR, Little River County",SPPS
123,"AR, Logan County",SPPS
124,"AR, Lonoke County",MISS
125,"AR, Madison County",SPPS
126,"AR, Marion County",MISS
127,"AR, Miller County",SPPS
128,"AR, Mississippi County",MISS
129,"AR, Monroe County",MISS
130,"AR, Montgomery County",SPPS
131,"AR, Nevada County",MISS
132,"AR, Newton County",SPPS
133,"AR, Ouachita County",MISS
134,"AR, Perry County",MISS
135,"AR, Phillips County",MISS
136,"AR, Pike County",SPPS
137,"AR, Poinsett County",MISS
138,"AR, Polk County",SPPS
139,"AR, Pope County",MISS
140,"AR, Prairie County",MISS
141,"AR, Pulaski County",MISS
142,"AR, Randolph County",MISS
143,"AR, St. Francis County",MISS
144,"AR, Saline County",MISS
145,"AR, Scott County",SPPS
146,"AR, Searcy County",MISS
147,"AR, Sebastian County",SPPS
148,"AR, Sevier County",SPPS
149,"AR, Sharp County",MISS
150,"AR, Stone County",MISS
151,"AR, Union County",MISS
152,"AR, Van Buren County",MISS
153,"AR, Washington County",SPPS
154,"AR, White County",MISS
155,"AR, Woodruff County",MISS
156,"AR, Yell County",SPPS
157,"CA, Alameda County",CANO
158,"CA, Alpine County",CANO
159,"CA, Amador County",CANO
160,"CA, Butte County",CANO
161,"CA, Calaveras County",CANO
162,"CA, Colusa County",CANO
163,"CA, Contra Costa County",CANO
164,"CA, Del Norte County",NWPP
165,"CA, El Dorado County",CANO
166,"CA, Fresno County",CANO
167,"CA, Glenn County",CANO
168,"CA, Humboldt County",CANO
169,"CA, Imperial County",SRSG
170,"CA, Inyo County",CASO
171,"CA, Kern County",CASO
172,"CA, Kings County",CANO
173,"CA, Lake County",CANO
174,"CA, Lassen County",NWPP
175,"CA, Los Angeles County",CASO
176,"CA, Madera County",CANO
177,"CA, Marin County",CANO
178,"CA, Mariposa County",CANO
179,"CA, Mendocino County",CANO
180,"CA, Merced County",CANO
181,"CA, Modoc County",NWPP
182,"CA, Mono County",CASO
183,"CA, Monterey County",CANO
184,"CA, Napa County",CANO
185,"CA, Nevada County",CANO
186,"CA, Orange County",CASO
187,"CA, Placer County",CANO
188,"CA, Plumas County",CANO
189,"CA, Riverside County",CASO
190,"CA, Sacramento County",CANO
191,"CA, San Benito County",CANO
192,"CA, San Bernardino County",CASO
193,"CA, San Diego County",CASO
194,"CA, San Francisco County",CANO
195,"CA, San Joaquin County",CANO
196,"CA, San Luis Obispo County",CANO
197,"CA, San Mateo County",CANO
198,"CA, Santa Barbara County",CANO
199,"CA, Santa Clara County",CANO
200,"CA, Santa Cruz County",CANO
201,"CA, Shasta County",CANO
202,"CA, Sierra County",CANO
203,"CA, Siskiyou County",NWPP
204,"CA, Solano County",CANO
205,"CA, Sonoma County",CANO
206,"CA, Stanislaus County",CANO
207,"CA, Sutter County",CANO
208,"CA, Tehama County",CANO
209,"CA, Trinity County",CANO
210,"CA, Tulare County",CASO
211,"CA, Tuolumne County",CANO
212,"CA, Ventura County",CASO
213,"CA, Yolo County",CANO
214,"CA, Yuba County",CANO
215,"CO, Adams County",RMRG
216,"CO, Alamosa County",RMRG
217,"CO, Arapahoe County",RMRG
218,"CO, Archuleta County",RMRG
219,"CO, Baca County",RMRG
220,"CO, Bent County",RMRG
221,"CO, Boulder County",RMRG
222,"CO, Broomfield County",RMRG
223,"CO, Chaffee County",RMRG
224,"CO, Cheyenne County",RMRG
225,"CO, Clear Creek County",RMRG
226,"CO, Conejos County",RMRG
227,"CO, Costilla County",RMRG
228,"CO, Crowley County",RMRG
229,"CO, Custer County",RMRG
230,"CO, Delta County",RMRG
231,"CO, Denver County",RMRG
232,"CO, Dolores County",RMRG
233,"CO, Douglas County",RMRG
234,"CO, Eagle County",RMRG
235,"CO, Elbert County",RMRG
236,"CO, El Paso County",RMRG
237,"CO, Fremont County",RMRG
238,"CO, Garfield County",RMRG
239,"CO, Gilpin County",RMRG
240,"CO, Grand County",RMRG
241,"CO, Gunnison County",RMRG
242,"CO, Hinsdale County",RMRG
243,"CO, Huerfano County",RMRG
244,"CO, Jackson County",RMRG
245,"CO, Jefferson County",RMRG
246,"CO, Kiowa County",RMRG
247,"CO, Kit Carson County",RMRG
248,"CO, Lake County",RMRG
249,"CO, La Plata County",RMRG
250,"CO, Larimer County",RMRG
251,"CO, Las Animas County",RMRG
252,"CO, Lincoln County",RMRG
253,"CO, Logan County",RMRG
254,"CO, Mesa County",RMRG
255,"CO, Mineral County",RMRG
256,"CO, Moffat County",RMRG
257,"CO, Montezuma County",RMRG
258,"CO, Montrose County",RMRG
259,"CO, Morgan County",RMRG
